"2021-01-07 17:22:57 [main]  INFO  c.c.s.Task3ZuulProxyApiGateWayApplication -The following profiles are active: dev
""2021-01-07 17:22:58 [main]  WARN  o.s.boot.actuate.endpoint.EndpointId -Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
""2021-01-07 17:22:58 [main]  WARN  o.s.boot.actuate.endpoint.EndpointId -Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
""2021-01-07 17:22:58 [main]  INFO  o.s.cloud.context.scope.GenericScope -BeanFactory id=3da12aeb-3654-31a1-851c-b34f8d42d4a3
""2021-01-07 17:22:59 [main]  INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2021-01-07 17:22:59 [main]  INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactiveLoadBalancerConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactiveLoadBalancerConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2021-01-07 17:22:59 [main]  INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'deferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2021-01-07 17:22:59 [main]  WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
""2021-01-07 17:22:59 [main]  INFO  c.n.c.sources.URLConfigurationSource -To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2021-01-07 17:22:59 [main]  WARN  c.n.c.sources.URLConfigurationSource -No URLs will be polled as dynamic configuration sources.
""2021-01-07 17:22:59 [main]  INFO  c.n.c.sources.URLConfigurationSource -To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2021-01-07 17:22:59 [main]  INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration -Eureka HTTP Client uses Jersey
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [After]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Before]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Between]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Cookie]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Header]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Host]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Method]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Path]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Query]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [ReadBody]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [RemoteAddr]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [Weight]
""2021-01-07 17:23:00 [main]  INFO  o.s.c.g.r.RouteDefinitionRouteLocator -Loaded RoutePredicateFactory [CloudFoundryRouteService]
""2021-01-07 17:23:01 [main]  INFO  o.s.b.a.e.web.EndpointLinksResolver -Exposing 2 endpoint(s) beneath base path '/actuator'
""2021-01-07 17:23:01 [main]  WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger -You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
""2021-01-07 17:23:01 [main]  WARN  o.s.c.c.l.r.ReactorLoadBalancerClientAutoConfiguration$ReactorLoadBalancerClientRibbonWarnLogger -You have RibbonLoadBalancerClient on your classpath. LoadBalancerExchangeFilterFunction that uses it under the hood will be used by default. Spring Cloud Ribbon is now in maintenance mode, so we suggest switching to ReactorLoadBalancerExchangeFilterFunction instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
""2021-01-07 17:23:01 [main]  INFO  o.s.c.n.eureka.InstanceInfoFactory -Setting initial instance status as: STARTING
